 "Daftar Anggota MPR RI Periode 2019-2024 ","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"NO ","NAMA ","NOMOR ANGGOTA ","NO.KEPRES ","TEMPAT LAHIR ","TANGGAL LAHIR ","JENIS KELAMIN ","AGAMA ","PENDIDIKAN TERAKHIR ","FRAKSI ","PROVINSI ","JABATAN ","STATUS ANGGOTA ","CREATED ","UPDATED "
"69","H. NURZAHEDI, S.E. ","A-69 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","SELATPANJANG ","1963-10-02 ","L ","ISLAM ","SARJANA ","Fraksi GERINDRA ","RIAU ","anggota ","Aktif ","-0001-11-30 00:00:00 ","-0001-11-30 00:00:00 "
"70","Ir. H.A.R. SUTAN ADIL HENDRA, M.M. ","A-70 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","TAPANULI SELATAN ","1968-08-02 ","L ","ISLAM ","PASCA SARJANA ","Fraksi GERINDRA ","JAMBI ","anggota ","Aktif ","-0001-11-30 00:00:00 ","-0001-11-30 00:00:00 "
"71","RENNY ASTUTI, S.H., S.PN., MM., MBA ","AAAA-71 ","7/P TAHUN 2020, 16 JANUARI 2020 ","PAGAR ALAM ","1971-03-21 ","P ","ISLAM ","PASCA SARJANA ","Fraksi GERINDRA ","SUMATERA SELATAN ","anggota ","Tidak Aktif ","-0001-11-30 00:00:00 ","2022-06-16 05:57:42 "
"72","Ir. EDDY SANTANA PUTRA, MT ","A-72 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","PANGKAL PINANG ","1957-01-20 ","L ","ISLAM ","PASCA SARJANA ","Fraksi GERINDRA ","SUMATERA SELATAN ","anggota ","Aktif ","-0001-11-30 00:00:00 ","-0001-11-30 00:00:00 "
"73","Ir. SRI MELIYANA ","A-73 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","LAHAT ","1961-05-11 ","P ","ISLAM ","SARJANA ","Fraksi GERINDRA ","SUMATERA SELATAN ","anggota ","Aktif ","-0001-11-30 00:00:00 ","-0001-11-30 00:00:00 "
"74","SUSI MARLENY BACHSIN, S.E., M.M. ","A-74 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","JAKARTA ","1960-11-19 ","P ","ISLAM ","PASCA SARJANA ","Fraksi GERINDRA ","BENGKULU ","anggota ","Aktif ","-0001-11-30 00:00:00 ","-0001-11-30 00:00:00 "
"75","H. AHMAD MUZANI ","A-75 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","TEGAL ","1968-07-15 ","Laki-Laki ","","","Fraksi GERINDRA ","LAMPUNG ","anggota ","Aktif ","-0001-11-30 00:00:00 ","2021-04-07 03:24:51 "
"76","Ir. DWITA RIA GUNADI ","A-76 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","BANDAR LAMPUNG ","1963-10-03 ","P ","ISLAM ","SARJANA ","Fraksi GERINDRA ","LAMPUNG ","anggota ","Aktif ","-0001-11-30 00:00:00 ","-0001-11-30 00:00:00 "
"77","HABIBUROKHMAN, S.H., M.H ","A-77 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","LAMPUNG ","1974-09-17 ","L ","ISLAM ","PASCA SARJANA ","Fraksi GERINDRA ","DKI JAKARTA ","anggota ","Aktif ","-0001-11-30 00:00:00 ","-0001-11-30 00:00:00 "
"78","Hj. HIMMATUL ALIYAH, S.Sos., M.Si. ","A-78 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","TANGERANG ","1970-06-11 ","Perempuan ","","","Fraksi GERINDRA ","DKI JAKARTA ","anggota ","Aktif ","-0001-11-30 00:00:00 ","2022-01-24 10:59:14 "
"79","Ir. H. KAMRUSSAMAD, S.T., M.Si. ","A-79 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","MA'RANG ","1974-07-20 ","Laki-Laki ","","","Fraksi GERINDRA ","DKI JAKARTA ","anggota ","Aktif ","-0001-11-30 00:00:00 ","2022-07-13 03:44:01 "
"80","Dr. Ir. H. SODIK MUDJAHID, M.Sc. ","A-80 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","BANDUNG ","1957-08-02 ","Laki-Laki ","","","Fraksi GERINDRA ","JAWA BARAT ","anggota ","Aktif ","-0001-11-30 00:00:00 ","2021-06-21 10:44:33 "
"81","RACHEL MARYAM SAYIDINA ","A-81 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","BANDUNG ","1980-04-20 ","P ","ISLAM ","SLTA ","Fraksi GERINDRA ","JAWA BARAT ","anggota ","Aktif ","-0001-11-30 00:00:00 ","-0001-11-30 00:00:00 "
"82","IIS ROSYITA DEWI (IIS EDHY PRABOWO, S.Hum., M.M. ","A-82 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","JAKARTA ","1979-05-17 ","Perempuan ","","","Fraksi GERINDRA ","JAWA BARAT ","anggota ","Aktif ","-0001-11-30 00:00:00 ","2023-02-03 08:22:55 "
"83","Ir.H. AHMAD RIZA PATRIA, M.B.A. ","AA-83 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","BANJARMASIN ","1969-12-17 ","L ","ISLAM ","PASCA SARJANA ","Fraksi GERINDRA ","JAWA BARAT ","anggota ","Tidak Aktif ","-0001-11-30 00:00:00 ","2022-06-16 05:49:40 "
"84","Dr.Ir.Hj. ENDANG SETYAWATI THOHARI DESS, M.Sc. ","A-84 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","CIREBON ","1949-08-24 ","P ","ISLAM ","DOKTOR ","Fraksi GERINDRA ","JAWA BARAT ","anggota ","Aktif ","-0001-11-30 00:00:00 ","-0001-11-30 00:00:00 "
"85","HERI GUNAWAN ","A-85 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","SUKABUMI ","1969-04-11 ","L ","ISLAM ","SARJANA ","Fraksi GERINDRA ","JAWA BARAT ","anggota ","Aktif ","-0001-11-30 00:00:00 ","-0001-11-30 00:00:00 "
"86","DR. H. FADLI ZON, S.S., M.Sc. ","A-86 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","JAKARTA ","1971-06-01 ","L ","ISLAM ","PASCA SARJANA ","Fraksi GERINDRA ","JAWA BARAT ","anggota ","Aktif ","-0001-11-30 00:00:00 ","-0001-11-30 00:00:00 "
"87","Drs.H. MULYADI, M.M.A. ","A-87 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","BOGOR ","1970-11-02 ","L ","ISLAM ","PASCA SARJANA ","Fraksi GERINDRA ","JAWA BARAT ","anggota ","Aktif ","-0001-11-30 00:00:00 ","-0001-11-30 00:00:00 "
"88","Ir. H. NUROJI ","A-88 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","DEPOK ","1962-09-09 ","L ","ISLAM ","SARJANA ","Fraksi GERINDRA ","JAWA BARAT ","anggota ","Aktif ","-0001-11-30 00:00:00 ","-0001-11-30 00:00:00 "
"89","OBON TABRONI ","A-89 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","BEKASI ","1972-09-27 ","L ","ISLAM ","SLTA ","Fraksi GERINDRA ","JAWA BARAT ","anggota ","Aktif ","-0001-11-30 00:00:00 ","-0001-11-30 00:00:00 "
"90","drg. PUTIH SARI ","A-90 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","JAKARTA ","1984-07-20 ","Perempuan ","","","Fraksi GERINDRA ","JAWA BARAT ","anggota ","Aktif ","-0001-11-30 00:00:00 ","2022-06-16 13:43:27 "
"91","Dr. Ir. H. KARDAYA WARNIKA, D. E. A. ","A-91 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","CIREBON ","1952-08-17 ","L ","ISLAM ","DOKTOR ","Fraksi GERINDRA ","JAWA BARAT ","anggota ","Aktif ","-0001-11-30 00:00:00 ","-0001-11-30 00:00:00 "
"92","H. JEFRY ROMDONNY, S.E., S.Sos., M.Si., M.M. ","A-92 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","MAJALENGKA ","1980-08-08 ","L ","ISLAM ","PASCA SARJANA ","Fraksi GERINDRA ","JAWA BARAT ","anggota ","Aktif ","-0001-11-30 00:00:00 ","-0001-11-30 00:00:00 "
"93","ARDHYA PRATIWI S, S.E. ","A-93 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","BOGOR ","1988-06-07 ","P ","ISLAM ","SARJANA ","Fraksi GERINDRA ","JAWA BARAT ","anggota ","Aktif ","-0001-11-30 00:00:00 ","-0001-11-30 00:00:00 "
"94","MUHAMMAD HUSEIN FADLULLOH, B.Bus., M.M., M.B.A. ","A-94 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","BANDUNG ","1987-08-15 ","L ","ISLAM ","PASCA SARJANA ","Fraksi GERINDRA ","JAWA BARAT ","anggota ","Aktif ","-0001-11-30 00:00:00 ","-0001-11-30 00:00:00 "
"95","H. SUBARNA, SE., M.Si. ","A-95 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","TASIKMALAYA ","1968-05-16 ","L ","ISLAM ","PASCA SARJANA ","Fraksi GERINDRA ","JAWA BARAT ","anggota ","Aktif ","-0001-11-30 00:00:00 ","-0001-11-30 00:00:00 "
"96","MULAN JAMEELA ","A-96 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","GARUT ","1979-08-23 ","P ","ISLAM ","SLTA ","Fraksi GERINDRA ","JAWA BARAT ","anggota ","Aktif ","-0001-11-30 00:00:00 ","-0001-11-30 00:00:00 "
"97","SUGIONO ","A-97 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","TAKENGON ","1979-02-11 ","Laki-Laki ","Islam ","SLTA ","Fraksi GERINDRA ","JAWA TENGAH ","anggota ","Aktif ","-0001-11-30 00:00:00 ","2021-04-01 03:24:33 "
"98","ABDUL WACHID ","A-98 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","JEPARA ","1961-05-12 ","L ","ISLAM ","SLTA ","Fraksi GERINDRA ","JAWA TENGAH ","anggota ","Aktif ","-0001-11-30 00:00:00 ","-0001-11-30 00:00:00 "
"99","SUDEWO, S.T., M.T. ","A-99 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","PATI ","1968-10-11 ","L ","ISLAM ","PASCA SARJANA ","Fraksi GERINDRA ","JAWA TENGAH ","anggota ","Aktif ","-0001-11-30 00:00:00 ","-0001-11-30 00:00:00 "
"100","Ir. H. HARRY POERNOMO ","AA-100 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","SEMARANG ","1950-07-29 ","L ","ISLAM ","SARJANA ","Fraksi GERINDRA ","JAWA TENGAH ","anggota ","Tidak Aktif ","-0001-11-30 00:00:00 ","2022-07-13 03:45:09 "
"101","Ir. KRT. H. DARORI WONODIPURO, M.M. ","A-101 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","KEBUMEN ","1953-10-05 ","L ","ISLAM ","PASCA SARJANA ","Fraksi GERINDRA ","JAWA TENGAH ","anggota ","Aktif ","-0001-11-30 00:00:00 ","-0001-11-30 00:00:00 "
"102","Hj. NOVITA WIJAYANTI, SE., MM. ","A-102 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","CILACAP ","1979-11-24 ","P ","ISLAM ","PASCA SARJANA ","Fraksi GERINDRA ","JAWA TENGAH ","anggota ","Aktif ","-0001-11-30 00:00:00 ","-0001-11-30 00:00:00 "
"103","MOHAMAD HEKAL, M.B.A. ","A-103 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","JAKARTA ","1976-12-23 ","L ","ISLAM ","PASCA SARJANA ","Fraksi GERINDRA ","JAWA TENGAH ","anggota ","Aktif ","-0001-11-30 00:00:00 ","-0001-11-30 00:00:00 "
"104","RAMSON SIAGIAN ","A-104 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","P. SIANTAR ","1957-04-05 ","L ","KRISTEN ","SARJANA ","Fraksi GERINDRA ","JAWA TENGAH ","anggota ","Aktif ","-0001-11-30 00:00:00 ","-0001-11-30 00:00:00 "
"105","ANDIKA PANDU PURAGABAYA, S.Psi., M.Si., M.Sc. ","A-105 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","MALANG ","1986-03-17 ","L ","ISLAM ","PASCA SARJANA ","Fraksi GERINDRA ","DI YOGYAKARTA ","anggota ","Aktif ","-0001-11-30 00:00:00 ","-0001-11-30 00:00:00 "
"106","H. RAHMAT MUHAJIRIN, S.H. ","A-106 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","LUMAJANG ","1968-04-19 ","L ","ISLAM ","SARJANA ","Fraksi GERINDRA ","JAWA TIMUR ","anggota ","Aktif ","-0001-11-30 00:00:00 ","-0001-11-30 00:00:00 "
"107","LAKSDYA TNI (PURN) MOEKHLAS SIDIK, M.P.A. ","A-107 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","JOMBANG ","1953-07-12 ","L ","ISLAM ","SARJANA ","Fraksi GERINDRA ","JAWA TIMUR ","anggota ","Aktif ","-0001-11-30 00:00:00 ","-0001-11-30 00:00:00 "
"108","Ir. SUMAIL ABDULLAH ","A-108 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","WONGSOREJO ","1968-06-04 ","L ","ISLAM ","SARJANA ","Fraksi GERINDRA ","JAWA TIMUR ","anggota ","Aktif ","-0001-11-30 00:00:00 ","-0001-11-30 00:00:00 "
"109","BAMBANG HARYADI, S.E. ","A-109 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","JEMBER ","1979-08-20 ","L ","ISLAM ","SARJANA ","Fraksi GERINDRA ","JAWA TIMUR ","anggota ","Aktif ","-0001-11-30 00:00:00 ","-0001-11-30 00:00:00 "
"110","MORENO SOEPRAPTO, S.Sos. ","A-110 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","JAKARTA ","1982-11-14 ","Laki-Laki ","","","Fraksi GERINDRA ","JAWA TIMUR ","anggota ","Aktif ","-0001-11-30 00:00:00 ","2022-07-05 15:47:22 "
"111","Ir. ENDRO HERMONO, M.B.A. ","A-111 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","BLITAR ","1958-10-10 ","L ","ISLAM ","PASCA SARJANA ","Fraksi GERINDRA ","JAWA TIMUR ","anggota ","Aktif ","-0001-11-30 00:00:00 ","-0001-11-30 00:00:00 "
"112","Drs. SUPRIYANTO ","A-112 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","PONOROGO ","1962-03-16 ","L ","ISLAM ","SARJANA ","Fraksi GERINDRA ","JAWA TIMUR ","anggota ","Aktif ","-0001-11-30 00:00:00 ","2022-07-13 10:52:55 "
"113","Ir. H. SOEPRIYATNO ","AA-113 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","SURABAYA ","1966-10-19 ","L ","ISLAM ","SARJANA ","Fraksi GERINDRA ","JAWA TIMUR ","anggota ","Tidak Aktif ","-0001-11-30 00:00:00 ","2022-06-16 05:49:22 "
"114","WIHADI WIYANTO, S.H., M.H. ","A-114 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","BOJONEGORO ","1966-07-25 ","L ","KATOLIK ","PASCA SARJANA ","Fraksi GERINDRA ","JAWA TIMUR ","anggota ","Aktif ","-0001-11-30 00:00:00 ","-0001-11-30 00:00:00 "
"115","KHILMI ","A-115 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","GRESIK ","1965-09-12 ","L ","ISLAM ","SLTA ","Fraksi GERINDRA ","JAWA TIMUR ","anggota ","Aktif ","-0001-11-30 00:00:00 ","-0001-11-30 00:00:00 "
"116","R. IMRON AMIN, S.H., M.H. ","A-116 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","JAKARTA ","1987-08-15 ","L ","ISLAM ","PASCA SARJANA ","Fraksi GERINDRA ","JAWA TIMUR ","anggota ","Aktif ","-0001-11-30 00:00:00 ","-0001-11-30 00:00:00 "
"117","ALI ZAMRONI, S.Sos. ","A-117 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","TEGAL ","1977-11-06 ","L ","ISLAM ","SARJANA ","Fraksi GERINDRA ","BANTEN ","anggota ","Aktif ","-0001-11-30 00:00:00 ","-0001-11-30 00:00:00 "
"118","H. DESMOND JUNAIDI MAHESA, S.H., M.H. ","A-118 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","BANJARMASIN ","1965-12-12 ","L ","ISLAM ","PASCA SARJANA ","Fraksi GERINDRA ","BANTEN ","anggota ","Aktif ","-0001-11-30 00:00:00 ","-0001-11-30 00:00:00 "
"119","Dr. SUFMI DASCO AHMAD ","A-119 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","BANDUNG ","1967-10-07 ","L ","ISLAM ","DOKTOR ","Fraksi GERINDRA ","BANTEN ","anggota ","Aktif ","-0001-11-30 00:00:00 ","-0001-11-30 00:00:00 "
"120","MARTINA, S.I.KOM., M.Si ","A-120 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","JAKARTA ","1986-08-06 ","Perempuan ","","","Fraksi GERINDRA ","BANTEN ","anggota ","Aktif ","-0001-11-30 00:00:00 ","2023-02-03 15:23:34 "
"121","Drs. H. ZAINUL ARIFIN ","A-121 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","BIMA ","1955-07-29 ","L ","ISLAM ","SARJANA ","Fraksi GERINDRA ","NUSA TENGGARA BARAT ","anggota ","Aktif ","-0001-11-30 00:00:00 ","-0001-11-30 00:00:00 "
"122","H. BAMBANG KRISTIONO, S.E. ","A-122 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","PURWAKARTA ","1960-12-25 ","L ","ISLAM ","SARJANA ","Fraksi GERINDRA ","NUSA TENGGARA BARAT ","anggota ","Aktif ","-0001-11-30 00:00:00 ","-0001-11-30 00:00:00 "
"123","KATHERINE A. OENDOEN ","A-123 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","PONTIANAK ","1960-11-14 ","P ","KATOLIK ","SARJANA ","Fraksi GERINDRA ","KALIMANTAN BARAT ","anggota ","Aktif ","-0001-11-30 00:00:00 ","-0001-11-30 00:00:00 "
"124","H IWAN KURNIAWAN, S.H, M.Si. ","A-124 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","BANJARMASIN ","1970-05-12 ","L ","ISLAM ","SARJANA ","Fraksi GERINDRA ","KALIMANTAN TENGAH ","anggota ","Aktif ","-0001-11-30 00:00:00 ","-0001-11-30 00:00:00 "
"125","Drs. H. SAIFUL RASYID, M.M. ","A-125 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","BARABAI ","1952-11-02 ","L ","ISLAM ","PASCA SARJANA ","Fraksi GERINDRA ","KALIMANTAN SELATAN ","anggota ","Aktif ","-0001-11-30 00:00:00 ","-0001-11-30 00:00:00 "
"126","H. MUHAMMAD NUR, S.Sy. ","A-126 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","SATUI, KALIMANTAN SELATAN ","1978-04-21 ","L ","ISLAM ","SARJANA ","Fraksi GERINDRA ","KALIMANTAN SELATAN ","anggota ","Aktif ","-0001-11-30 00:00:00 ","-0001-11-30 00:00:00 "
"127","G. BUDISATRIO DJIWANDONO ","A-127 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","JAKARTA ","1981-09-25 ","L ","KATOLIK ","SARJANA ","Fraksi GERINDRA ","KALIMANTAN TIMUR ","anggota ","Aktif ","-0001-11-30 00:00:00 ","-0001-11-30 00:00:00 "
"128","Dr. SUPRATMAN ANDI AGTAS, S.H., M.H. ","A-128 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","SOPPENG ","1969-09-28 ","L ","ISLAM ","DOKTOR ","Fraksi GERINDRA ","SULAWESI TENGAH ","anggota ","Aktif ","-0001-11-30 00:00:00 ","-0001-11-30 00:00:00 "
"129","Dr. H. AZIKIN SOLTHAN, M.Si. ","A-129 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","BANTAENG ","1953-08-07 ","L ","ISLAM ","DOKTOR ","Fraksi GERINDRA ","SULAWESI SELATAN ","anggota ","Aktif ","-0001-11-30 00:00:00 ","-0001-11-30 00:00:00 "
"130","H. ANDI IWAN DARMAWAN ARAS, S.E., M.Si. ","A-130 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","UJUNG PANDANG ","1976-06-26 ","Laki-Laki ","Islam ","Pasca Sarjana ","Fraksi GERINDRA ","SULAWESI SELATAN ","anggota ","Aktif ","-0001-11-30 00:00:00 ","2021-04-13 14:23:11 "
"131","Ir. H. LA TINRO LA TUNRUNG ","A-131 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","MAKASAR ","1956-10-18 ","L ","ISLAM ","SARJANA ","Fraksi GERINDRA ","SULAWESI SELATAN ","anggota ","Aktif ","-0001-11-30 00:00:00 ","-0001-11-30 00:00:00 "
"132","Drs. H. IMRAN, M.Si. ","AA-132 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","TAWANGA KENDARI ","1952-05-11 ","L ","ISLAM ","PASCA SARJANA ","Fraksi GERINDRA ","SULAWESI TENGGARA ","anggota ","Tidak Aktif ","-0001-11-30 00:00:00 ","2022-06-16 05:46:01 "
"133","ELNINO M. HUSEIN MOHI, S.T. M.Si. ","A-133 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","GORONTALO ","1974-10-30 ","Laki-Laki ","Islam ","Pasca Sarjana ","Fraksi GERINDRA ","GORONTALO ","anggota ","Aktif ","-0001-11-30 00:00:00 ","2021-04-12 07:18:33 "
"134","Dra. Hj. RUSKATI ALI BAAL ","A-134 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","KABUPATEN MAJENE ","1958-07-27 ","P ","ISLAM ","SARJANA ","Fraksi GERINDRA ","SULAWESI BARAT ","anggota ","Aktif ","-0001-11-30 00:00:00 ","-0001-11-30 00:00:00 "
"135","HENDRIK LEWERISSA, SH., LL.M. ","A-135 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","AMBON ","1968-03-02 ","Laki-Laki ","","","Fraksi GERINDRA ","MALUKU ","anggota ","Aktif ","-0001-11-30 00:00:00 ","2021-06-21 10:46:21 "
"136","YAN PERMENAS MANDENAS, S.Sos., M.Si. ","A-136 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","NABIRE ","1982-09-26 ","L ","KRISTEN ","PASCA SARJANA ","Fraksi GERINDRA ","PAPUA ","anggota ","Aktif ","-0001-11-30 00:00:00 ","-0001-11-30 00:00:00 "
"137","Dr SOFYAN TAN ","A-137 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","MEDAN ","1959-09-25 ","Laki-Laki ","","","Fraksi Partai Demokrasi Indonesia Perjuangan ","SUMATERA UTARA ","anggota ","Aktif ","-0001-11-30 00:00:00 ","2022-06-17 15:11:31 "
"138","H. IRMADI LUBIS ","AA-138 ","15/P TAHUN 2020, 6 FEBRUARI 2020 ","PEMATANG SIANTAR ","1952-02-07 ","L ","ISLAM ","DIPLOMA ","Fraksi Partai Demokrasi Indonesia Perjuangan ","SUMATERA UTARA ","anggota ","Aktif ","-0001-11-30 00:00:00 ","-0001-11-30 00:00:00 "
"139","SIHAR P.H SITORUS ","A-139 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","JAKARTA ","1968-06-12 ","L ","KRISTEN ","SLTA ","Fraksi Partai Demokrasi Indonesia Perjuangan ","SUMATERA UTARA ","anggota ","Aktif ","-0001-11-30 00:00:00 ","-0001-11-30 00:00:00 "
"140","TRIMEDYA PANJAITAN, S.H., M.H. ","A-140 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","MEDAN ","1966-06-06 ","L ","KRISTEN ","PASCA SARJANA ","Fraksi Partai Demokrasi Indonesia Perjuangan ","SUMATERA UTARA ","anggota ","Aktif ","-0001-11-30 00:00:00 ","-0001-11-30 00:00:00 "
"141","Drs. DJAROT SAIFUL HIDAYAT, M.S. ","A-141 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","MAGELANG ","1962-07-06 ","Laki-Laki ","","","Fraksi Partai Demokrasi Indonesia Perjuangan ","SUMATERA UTARA ","anggota ","Aktif ","-0001-11-30 00:00:00 ","2021-06-21 10:46:47 "
"142","Dr. JUNIMART GIRSANG, S.H, M.B.A., M.H. ","A-142 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","MEDAN ","1963-06-03 ","L ","KRISTEN ","DOKTOR ","Fraksi Partai Demokrasi Indonesia Perjuangan ","SUMATERA UTARA ","anggota ","Aktif ","-0001-11-30 00:00:00 ","-0001-11-30 00:00:00 "
"143","BOB ANDIKA MAMANA SITEPU, S.H. ","A-143 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","BINJAI ","1982-10-11 ","L ","KRISTEN ","SARJANA ","Fraksi Partai Demokrasi Indonesia Perjuangan ","SUMATERA UTARA ","anggota ","Aktif ","-0001-11-30 00:00:00 ","-0001-11-30 00:00:00 "
"144","Ir. EFFENDI SIANIPAR ","A-144 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","TARUTUNG ","1957-06-08 ","L ","ISLAM ","SARJANA ","Fraksi Partai Demokrasi Indonesia Perjuangan ","RIAU ","anggota ","Aktif ","-0001-11-30 00:00:00 ","-0001-11-30 00:00:00 "
"145","MARSIAMAN SARAGIH, S.H. ","A-145 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","PEMATANG SIANTAR ","1952-03-15 ","L ","KRISTEN ","SARJANA ","Fraksi Partai Demokrasi Indonesia Perjuangan ","RIAU ","anggota ","Aktif ","-0001-11-30 00:00:00 ","-0001-11-30 00:00:00 "
"146","M.R. IHSAN YUNUS ","A-146 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","JAKARTA ","1978-04-04 ","L ","ISLAM ","SLTA ","Fraksi Partai Demokrasi Indonesia Perjuangan ","JAMBI ","anggota ","Aktif ","-0001-11-30 00:00:00 ","-0001-11-30 00:00:00 "
"147","RIEZKY APRILIA, S.H., M.H. ","A-147 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","PALEMBANG ","1982-04-18 ","P ","ISLAM ","PASCA SARJANA ","Fraksi Partai Demokrasi Indonesia Perjuangan ","SUMATERA SELATAN ","anggota ","Aktif ","-0001-11-30 00:00:00 ","-0001-11-30 00:00:00 "
"148","YULIAN GUNHAR, S.H, M.H. ","A-148 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","PALEMBANG ","1973-07-06 ","L ","ISLAM ","PASCA SARJANA ","Fraksi Partai Demokrasi Indonesia Perjuangan ","SUMATERA SELATAN ","anggota ","Aktif ","-0001-11-30 00:00:00 ","-0001-11-30 00:00:00 "
"149","Hj. ELVA HARTATI MURMAN, S.IP, M.M. ","A-149 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","MANNA ","1960-05-15 ","P ","ISLAM ","PASCA SARJANA ","Fraksi Partai Demokrasi Indonesia Perjuangan ","BENGKULU ","anggota ","Aktif ","-0001-11-30 00:00:00 ","-0001-11-30 00:00:00 "
"150","Drs. Hi. MUKHLIS BASRI ","A-150 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","SINARJAYA ( LAMPUNG BARAT) ","1964-02-24 ","L ","ISLAM ","SARJANA ","Fraksi Partai Demokrasi Indonesia Perjuangan ","LAMPUNG ","anggota ","Aktif ","-0001-11-30 00:00:00 ","-0001-11-30 00:00:00 "
"151","SUDIN ","A-151 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","BANDAR LAMPUNG ","1964-11-15 ","L ","BUDHA ","SARJANA ","Fraksi Partai Demokrasi Indonesia Perjuangan ","LAMPUNG ","anggota ","Aktif ","-0001-11-30 00:00:00 ","-0001-11-30 00:00:00 "
