 "Daftar Anggota MPR RI Periode 2019-2024 ","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"NO ","NAMA ","NOMOR ANGGOTA ","NO.KEPRES ","TEMPAT LAHIR ","TANGGAL LAHIR ","JENIS KELAMIN ","AGAMA ","PENDIDIKAN TERAKHIR ","FRAKSI ","PROVINSI ","JABATAN ","STATUS ANGGOTA ","CREATED ","UPDATED "
"53","EDWARD TANNUR, S.H. ","A-53 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","ATAMBUA ","1961-12-02 ","Laki-Laki ","","","Fraksi Partai Kebangkitan Bangsa ","NUSA TENGGARA TIMUR ","anggota ","Aktif ","-0001-11-30 00:00:00 ","2023-02-08 09:47:03 "
"54","DANIEL JOHAN, S.E. ","A-54 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","JAKARTA ","1972-04-10 ","Laki-Laki ","","","Fraksi Partai Kebangkitan Bangsa ","KALIMANTAN BARAT ","anggota ","Aktif ","-0001-11-30 00:00:00 ","2023-02-08 09:47:25 "
"55","dr. H. MUHAMMAD ZAIRULLAH AZHAR ","AA55-55 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","PAGATAN ","1954-04-02 ","Laki-Laki ","","","Fraksi Partai Kebangkitan Bangsa ","KALIMANTAN SELATAN ","anggota ","Tidak Aktif ","-0001-11-30 00:00:00 ","2023-02-08 09:47:52 "
"56","H. HARUNA, M.A., M.B.A ","A-56 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","SENGKANG ","1959-12-12 ","Laki-Laki ","","","Fraksi Partai Kebangkitan Bangsa ","SULAWESI SELATAN ","anggota ","Aktif ","-0001-11-30 00:00:00 ","2023-02-08 09:48:08 "
"57","Drs. H. ANDI MUAWIYAH RAMLY, M. Si. ","A-57 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","WATAMPONE ","1957-10-10 ","Laki-Laki ","","","Fraksi Partai Kebangkitan Bangsa ","SULAWESI SELATAN ","anggota ","Aktif ","-0001-11-30 00:00:00 ","2023-02-08 09:49:46 "
"58","MARTHEN DOUW ","A-58 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","NABIRE ","1990-03-10 ","Laki-Laki ","","SLTA ","Fraksi Partai Kebangkitan Bangsa ","PAPUA ","anggota ","Aktif ","-0001-11-30 00:00:00 ","2023-02-08 09:51:01 "
"59","FADHLULLAH, S.E. ","A-59 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","DESA SIMPANG ","1981-06-15 ","Laki-Laki ","","","Fraksi GERINDRA ","ACEH ","anggota ","Aktif ","-0001-11-30 00:00:00 ","2023-02-08 09:51:18 "
"60","Ir. H. T. A. KHALID, M.M. ","A-60 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","MEUNASAH MEE ","1970-02-25 ","Laki-Laki ","","","Fraksi GERINDRA ","ACEH ","anggota ","Aktif ","-0001-11-30 00:00:00 ","2023-02-08 09:51:38 "
"61","ROMO H.R. MUHAMMAD SYAFII, SH, .M.Hum. ","A-61 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","MEDAN ","1959-10-21 ","Laki-Laki ","","","Fraksi GERINDRA ","SUMATERA UTARA ","anggota ","Aktif ","-0001-11-30 00:00:00 ","2021-06-21 10:43:45 "
"62","M. HUSNI, S.E. ","A-62 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","SIGLI ","1964-10-01 ","L ","ISLAM ","SARJANA ","Fraksi GERINDRA ","SUMATERA UTARA ","anggota ","Aktif ","-0001-11-30 00:00:00 ","-0001-11-30 00:00:00 "
"63","H. GUS IRAWAN PASARIBU, SE., Ak., MM., CA ","A-63 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","PADANGSIDIMPUAN ","1964-07-31 ","L ","ISLAM ","PASCA SARJANA ","Fraksi GERINDRA ","SUMATERA UTARA ","anggota ","Aktif ","-0001-11-30 00:00:00 ","-0001-11-30 00:00:00 "
"64","Prof. DR, Ir. DJOHAR ARIFIN HUSIN ","A-64 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","TANJUNG PURA ","1950-09-13 ","L ","ISLAM ","DOKTOR ","Fraksi GERINDRA ","SUMATERA UTARA ","anggota ","Aktif ","-0001-11-30 00:00:00 ","-0001-11-30 00:00:00 "
"65","ANDRE ROSIADE ","A-65 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","PADANG ","1978-11-07 ","L ","ISLAM ","SARJANA ","Fraksi GERINDRA ","SUMATERA BARAT ","anggota ","Aktif ","-0001-11-30 00:00:00 ","-0001-11-30 00:00:00 "
"66","dr. H. SUIR SYAM, M.Kes. ","A-66 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","PADANG PANJANG ","1949-12-03 ","L ","ISLAM ","PASCA SARJANA ","Fraksi GERINDRA ","SUMATERA BARAT ","anggota ","Aktif ","-0001-11-30 00:00:00 ","-0001-11-30 00:00:00 "
"67","ADE REZKI PRATAMA, SE., MM ","A-67 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","BUKIT TINGGI ","1988-11-08 ","L ","ISLAM ","PASCA SARJANA ","Fraksi GERINDRA ","SUMATERA BARAT ","anggota ","Aktif ","-0001-11-30 00:00:00 ","-0001-11-30 00:00:00 "
"68","MUHAMMAD RAHUL ","A-68 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","NEGERI BAYU ","1995-12-25 ","L ","ISLAM ","SARJANA ","Fraksi GERINDRA ","RIAU ","anggota ","Aktif ","-0001-11-30 00:00:00 ","-0001-11-30 00:00:00 "
